url_len,hostname_len,special_chars,https,digits_url,digits_hostname,status
24,24,6,1,0.0,0.0,0
63,23,12,1,0.015873015873015872,0.043478260869565216,1
39,39,7,0,0.10256410256410256,0.10256410256410256,1
43,24,8,1,0.0,0.0,0
27,27,7,0,0.0,0.0,0
67,36,9,0,0.0,0.0,0
28,28,7,1,0.0,0.0,1
92,32,15,1,0.11956521739130435,0.0,1
34,35,5,0,0.0,0.0,0
37,26,7,1,0.0,0.0,0
48,23,8,0,0.0,0.0,0
123,27,22,0,0.056910569105691054,0.0,0
21,14,5,0,0.14285714285714285,0.0,1
29,29,6,1,0.0,0.0,0
100,26,13,0,0.22,0.0,1
26,26,7,1,0.0,0.0,0
100,28,17,1,0.06,0.0,0
33,33,6,0,0.12121212121212122,0.12121212121212122,1
46,20,7,0,0.0,0.0,0
77,21,14,0,0.025974025974025976,0.09523809523809523,1
81,35,8,0,0.18518518518518517,0.0,1
24,24,6,1,0.0,0.0,0
59,26,11,0,0.0,0.0,0
47,33,7,0,0.02127659574468085,0.030303030303030304,1
69,18,12,0,0.0,0.0,1
32,32,6,0,0.0,0.0,1
67,32,10,0,0.0,0.0,1
51,19,13,1,0.0,0.0,1
54,21,10,0,0.1111111111111111,0.0,0
59,29,11,0,0.06779661016949153,0.0,0
46,46,10,1,0.13043478260869565,0.13043478260869565,1
72,37,12,1,0.041666666666666664,0.08108108108108109,1
60,25,10,0,0.0,0.0,0
30,30,6,0,0.0,0.0,0
81,35,8,0,0.2962962962962963,0.0,1
32,32,6,1,0.0,0.0,0
54,22,10,0,0.09259259259259259,0.0,0
31,31,6,1,0.0,0.0,0
32,32,6,0,0.0625,0.0625,1
109,28,14,0,0.1926605504587156,0.0,1
77,23,15,1,0.06493506493506493,0.0,0
124,55,19,1,0.1693548387096774,0.0,1
268,22,29,1,0.19402985074626866,0.09090909090909091,1
29,25,7,0,0.0,0.0,0
71,27,11,0,0.0,0.0,0
31,32,5,0,0.0,0.0,1
73,23,13,1,0.1780821917808219,0.0,1
217,30,22,0,0.15207373271889402,0.0,1
68,25,13,0,0.0,0.0,1
95,30,13,0,0.0,0.0,1
83,23,13,0,0.13253012048192772,0.043478260869565216,0
35,35,6,0,0.0,0.0,0
70,37,10,0,0.0,0.0,1
50,26,8,0,0.0,0.0,0
41,23,9,0,0.024390243902439025,0.0,0
95,27,13,1,0.07368421052631578,0.0,1
26,26,6,1,0.0,0.0,0
48,48,10,0,0.1875,0.1875,1
57,47,11,1,0.10526315789473684,0.1276595744680851,1
49,25,8,1,0.0,0.0,0
24,24,7,0,0.0,0.0,0
22,22,6,0,0.0,0.0,0
128,59,19,1,0.1796875,0.0,1
30,25,8,1,0.06666666666666667,0.0,1
119,34,16,1,0.09243697478991597,0.0,1
27,27,6,1,0.0,0.0,0
32,29,7,1,0.09375,0.10344827586206896,1
27,27,7,1,0.0,0.0,0
85,21,13,0,0.011764705882352941,0.0,1
59,23,9,1,0.1016949152542373,0.0,0
172,23,29,1,0.11627906976744186,0.0,1
80,30,10,0,0.3125,0.2,1
21,22,5,0,0.0,0.0,0
259,42,22,0,0.42084942084942084,0.09523809523809523,1
102,23,12,0,0.20588235294117646,0.0,1
41,41,7,1,0.0,0.0,1
54,30,9,1,0.0,0.0,0
48,28,8,0,0.0,0.0,1
80,24,11,1,0.1,0.0,0
99,24,12,1,0.08080808080808081,0.0,1
85,23,17,1,0.09411764705882353,0.0,0
36,36,6,1,0.0,0.0,0
75,35,8,0,0.25333333333333335,0.0,1
23,23,7,0,0.0,0.0,0
127,59,18,1,0.2047244094488189,0.0,1
77,25,11,0,0.1038961038961039,0.0,0
25,22,7,1,0.0,0.0,0
26,23,6,0,0.0,0.0,1
46,46,9,1,0.0,0.0,1
